,round,reward,ticks
432,432,20.0,167
433,433,10.0,67
434,434,38.0,258
435,435,23.0,248
436,436,13.0,158
437,437,19.0,216
438,438,15.0,181
439,439,3.0,29
440,440,17.0,134
441,441,25.0,212
442,442,15.0,149
443,443,30.0,226
444,444,20.0,171
445,445,10.0,121
446,446,9.0,114
447,447,15.0,139
448,448,20.0,201
449,449,13.0,154
450,450,3.0,36
451,451,19.0,181
452,452,11.0,124
453,453,6.0,136
454,454,15.0,130
455,455,9.0,131
456,456,18.0,144
457,457,16.0,177
458,458,10.0,82
459,459,5.0,87
460,460,17.0,142
461,461,12.0,151
462,462,27.0,281
463,463,9.0,118
464,464,13.0,141
465,465,14.0,130
466,466,13.0,155
467,467,15.0,155
468,468,5.0,88
469,469,11.0,133
470,470,11.0,132
471,471,10.0,145
472,472,14.0,136
473,473,12.0,120
474,474,22.0,161
475,475,9.0,103
476,476,20.0,173
477,477,19.0,153
478,478,9.0,58
479,479,21.0,172
480,480,20.0,137
481,481,14.0,124
482,482,22.0,217
483,483,10.0,94
484,484,8.0,139
485,485,10.0,142
486,486,20.0,160
487,487,20.0,160
488,488,10.0,122
489,489,22.0,177
490,490,24.0,178
491,491,16.0,137
492,492,14.0,136
493,493,35.0,287
494,494,23.0,207
495,495,16.0,130
496,496,21.0,166
497,497,34.0,265
498,498,11.0,93
499,499,23.0,177
500,500,15.0,79
501,501,5.0,60
502,502,30.0,263
503,503,11.0,74
504,504,21.0,150
505,505,23.0,157
506,506,10.0,138
507,507,8.0,127
508,508,19.0,122
509,509,15.0,159
510,510,17.0,143
511,511,13.0,118
512,512,3.0,44
513,513,3.0,118
514,514,11.0,122
515,515,27.0,183
516,516,18.0,145
517,517,9.0,77
518,518,21.0,161
519,519,8.0,99
520,520,26.0,172
521,521,11.0,103
522,522,21.0,175
523,523,17.0,142
524,524,19.0,134
525,525,14.0,124
526,526,13.0,134
527,527,11.0,131
528,528,14.0,129
529,529,17.0,124
530,530,9.0,69
531,531,14.0,134
532,532,27.0,199
533,533,19.0,151
534,534,16.0,128
535,535,19.0,137
536,536,3.0,57
537,537,16.0,136
538,538,14.0,177
539,539,7.0,80
540,540,10.0,153
541,541,14.0,132
542,542,20.0,151
543,543,4.0,127
544,544,13.0,141
545,545,5.0,49
546,546,13.0,124
547,547,7.0,125
548,548,18.0,161
549,549,11.0,155
550,550,7.0,107
551,551,29.0,217
552,552,13.0,145
553,553,10.0,158
554,554,14.0,140
555,555,17.0,186
556,556,15.0,172
557,557,12.0,110
558,558,11.0,141
559,559,11.0,125
560,560,15.0,126
561,561,12.0,152
562,562,31.0,276
563,563,15.0,139
564,564,10.0,74
565,565,47.0,408
566,566,12.0,124
567,567,13.0,152
568,568,14.0,97
569,569,16.0,139
570,570,13.0,133
571,571,11.0,142
572,572,12.0,128
573,573,12.0,146
574,574,19.0,149
575,575,10.0,120
576,576,11.0,121
577,577,17.0,154
578,578,19.0,144
579,579,13.0,148
580,580,13.0,71
581,581,12.0,136
582,582,8.0,79
583,583,14.0,135
584,584,17.0,132
585,585,17.0,121
586,586,13.0,118
587,587,11.0,128
588,588,15.0,174
589,589,19.0,136
590,590,30.0,224
591,591,17.0,86
592,592,12.0,121
593,593,16.0,136
594,594,24.0,158
595,595,20.0,167
596,596,14.0,124
597,597,9.0,145
598,598,17.0,171
599,599,14.0,134
600,600,14.0,122
601,601,13.0,143
602,602,18.0,172
603,603,11.0,105
604,604,20.0,169
605,605,10.0,121
606,606,8.0,58
607,607,23.0,240
608,608,31.0,249
609,609,16.0,137
610,610,13.0,124
611,611,13.0,120
612,612,25.0,199
613,613,14.0,123
614,614,18.0,140
615,615,17.0,156
616,616,10.0,124
617,617,32.0,236
618,618,28.0,204
619,619,22.0,220
620,620,9.0,137
621,621,8.0,129
622,622,17.0,146
623,623,44.0,329
624,624,15.0,145
625,625,14.0,118
626,626,20.0,134
627,627,13.0,139
628,628,20.0,150
629,629,17.0,118
630,630,21.0,138
631,631,15.0,130
632,632,10.0,134
633,633,11.0,103
634,634,8.0,144
635,635,5.0,78
636,636,13.0,141
637,637,13.0,122
638,638,6.0,52
639,639,16.0,118
640,640,16.0,123
641,641,16.0,152
642,642,10.0,90
643,643,18.0,193
644,644,22.0,156
645,645,14.0,141
646,646,26.0,182
647,647,11.0,118
648,648,9.0,127
649,649,13.0,141
650,650,5.0,69
651,651,5.0,40
652,652,15.0,131
653,653,9.0,129
654,654,9.0,130
655,655,12.0,143
656,656,11.0,144
657,657,15.0,140
658,658,17.0,143
659,659,23.0,156
660,660,10.0,133
661,661,10.0,80
