,round,reward,ticks
507,507,10.0,136
508,508,9.0,145
509,509,15.0,161
510,510,15.0,193
511,511,5.0,318
512,512,6.0,87
513,513,17.0,161
514,514,12.0,159
515,515,8.0,161
516,516,15.0,145
517,517,14.0,144
518,518,5.0,145
519,519,6.0,145
520,520,15.0,174
521,521,13.0,131
522,522,16.0,209
523,523,6.0,136
524,524,13.0,177
525,525,9.0,145
526,526,10.0,158
527,527,8.0,152
528,528,12.0,157
529,529,35.0,369
530,530,13.0,145
531,531,11.0,145
532,532,2.0,145
533,533,9.0,161
534,534,5.0,142
535,535,3.0,145
536,536,3.0,145
537,537,4.0,131
538,538,10.0,145
539,539,14.0,186
540,540,7.0,145
541,541,3.0,121
542,542,7.0,158
543,543,3.0,114
544,544,16.0,165
545,545,11.0,143
546,546,19.0,177
547,547,6.0,235
548,548,6.0,203
549,549,2.0,139
550,550,6.0,193
551,551,2.0,139
552,552,5.0,344
553,553,9.0,243
554,554,7.0,238
555,555,10.0,153
556,556,5.0,145
557,557,3.0,145
558,558,13.0,193
559,559,19.0,161
560,560,13.0,191
561,561,17.0,177
562,562,6.0,145
563,563,8.0,133
564,564,20.0,201
565,565,8.0,118
566,566,14.0,121
567,567,15.0,190
568,568,3.0,161
569,569,18.0,257
570,570,16.0,177
571,571,3.0,145
572,572,4.0,121
573,573,16.0,137
574,574,10.0,139
575,575,17.0,207
576,576,4.0,123
577,577,4.0,143
578,578,14.0,121
579,579,17.0,137
580,580,4.0,118
581,581,3.0,123
582,582,7.0,121
583,583,5.0,121
584,584,4.0,123
585,585,11.0,144
586,586,1.0,145
587,587,9.0,161
588,588,12.0,143
589,589,9.0,143
590,590,14.0,161
591,591,8.0,145
592,592,3.0,130
593,593,15.0,175
594,594,8.0,160
595,595,4.0,136
596,596,7.0,225
597,597,10.0,158
598,598,3.0,139
599,599,13.0,145
600,600,11.0,121
601,601,5.0,149
602,602,8.0,177
603,603,2.0,119
604,604,4.0,145
605,605,6.0,145
606,606,2.0,137
607,607,3.0,145
608,608,13.0,152
609,609,19.0,256
610,610,6.0,270
611,611,17.0,1999
612,612,10.0,190
613,613,9.0,155
614,614,7.0,145
615,615,8.0,113
616,616,1.0,41
617,617,11.0,145
618,618,9.0,145
619,619,2.0,145
620,620,6.0,131
621,621,10.0,155
622,622,15.0,172
623,623,13.0,153
624,624,14.0,162
625,625,13.0,174
626,626,9.0,140
627,627,4.0,142
628,628,11.0,142
629,629,5.0,142
630,630,8.0,145
631,631,12.0,141
632,632,14.0,190
633,633,13.0,174
634,634,10.0,158
635,635,12.0,161
636,636,12.0,121
637,637,19.0,171
638,638,11.0,201
639,639,13.0,136
640,640,8.0,190
641,641,8.0,135
642,642,3.0,153
643,643,10.0,142
644,644,8.0,161
645,645,9.0,153
646,646,14.0,168
647,647,2.0,145
648,648,2.0,145
649,649,6.0,145
650,650,3.0,145
651,651,10.0,161
652,652,2.0,107
653,653,12.0,165
654,654,2.0,127
655,655,2.0,92
656,656,1.0,145
657,657,5.0,145
658,658,4.0,145
659,659,9.0,139
660,660,12.0,161
661,661,15.0,139
662,662,3.0,145
663,663,20.0,193
664,664,13.0,145
665,665,16.0,155
666,666,3.0,145
667,667,6.0,140
668,668,4.0,139
669,669,1.0,103
670,670,8.0,161
671,671,4.0,158
672,672,19.0,190
673,673,16.0,174
674,674,11.0,137
675,675,17.0,181
676,676,3.0,122
677,677,13.0,124
678,678,11.0,161
679,679,1.0,120
680,680,11.0,130
681,681,7.0,144
682,682,9.0,161
683,683,9.0,130
684,684,16.0,193
685,685,4.0,161
686,686,10.0,161
687,687,6.0,280
688,688,7.0,124
689,689,6.0,132
690,690,11.0,133
691,691,7.0,178
692,692,6.0,145
693,693,15.0,143
694,694,17.0,141
695,695,14.0,155
696,696,24.0,207
697,697,4.0,220
698,698,14.0,449
699,699,4.0,177
700,700,4.0,161
701,701,15.0,225
702,702,13.0,221
703,703,3.0,177
704,704,6.0,139
705,705,15.0,190
706,706,7.0,161
707,707,17.0,177
708,708,6.0,145
709,709,8.0,148
710,710,10.0,209
711,711,19.0,139
712,712,6.0,142
713,713,19.0,210
714,714,10.0,139
715,715,10.0,139
716,716,8.0,155
717,717,14.0,159
718,718,9.0,137
719,719,4.0,56
720,720,4.0,133
721,721,13.0,190
722,722,34.0,299
723,723,13.0,139
724,724,11.0,153
725,725,31.0,264
726,726,8.0,127
727,727,9.0,133
728,728,10.0,147
729,729,13.0,158
730,730,9.0,155
731,731,2.0,142
732,732,2.0,122
733,733,18.0,209
734,734,40.0,409
735,735,20.0,287
736,736,9.0,145
737,737,8.0,178
738,738,5.0,142
739,739,7.0,141
740,740,21.0,254
741,741,13.0,145
742,742,2.0,323
743,743,15.0,241
744,744,10.0,152
745,745,4.0,145
746,746,6.0,161
747,747,9.0,142
748,748,8.0,177
749,749,4.0,161
750,750,6.0,124
751,751,12.0,190
752,752,13.0,158
753,753,14.0,136
754,754,8.0,145
755,755,8.0,161
756,756,5.0,193
757,757,9.0,156
758,758,7.0,124
759,759,10.0,174
760,760,12.0,136
761,761,0.0,108
762,762,9.0,145
763,763,14.0,145
764,764,11.0,145
765,765,4.0,142
766,766,8.0,145
767,767,8.0,177
768,768,6.0,143
769,769,13.0,143
770,770,13.0,142
771,771,12.0,155
772,772,16.0,161
773,773,11.0,145
774,774,17.0,161
775,775,17.0,161
776,776,7.0,142
777,777,11.0,161
778,778,5.0,142
779,779,5.0,142
780,780,7.0,127
781,781,10.0,143
782,782,6.0,142
783,783,3.0,142
784,784,1.0,83
785,785,9.0,145
786,786,11.0,142
787,787,6.0,161
788,788,13.0,165
789,789,2.0,142
790,790,21.0,242
791,791,7.0,145
792,792,10.0,127
793,793,10.0,145
794,794,6.0,143
795,795,8.0,145
796,796,13.0,209
797,797,13.0,167
798,798,24.0,257
799,799,9.0,177
800,800,33.0,319
801,801,16.0,145
802,802,8.0,161
803,803,7.0,139
804,804,13.0,145
805,805,37.0,369
806,806,4.0,139
807,807,4.0,130
808,808,9.0,145
809,809,0.0,124
810,810,11.0,133
811,811,21.0,209
812,812,7.0,158
813,813,5.0,119
814,814,10.0,159
815,815,2.0,137
816,816,20.0,258
817,817,1.0,142
818,818,6.0,128
819,819,8.0,159
820,820,7.0,161
821,821,9.0,200
822,822,1.0,142
823,823,13.0,155
824,824,2.0,171
825,825,3.0,95
826,826,6.0,289
827,827,1.0,145
828,828,12.0,152
829,829,2.0,80
830,830,1.0,127
831,831,9.0,161
832,832,3.0,117
833,833,7.0,137
834,834,13.0,166
835,835,24.0,381
836,836,10.0,161
837,837,10.0,257
838,838,7.0,177
839,839,5.0,145
840,840,5.0,130
841,841,1.0,41
842,842,5.0,145
843,843,4.0,146
844,844,-1.0,158
845,845,2.0,161
846,846,10.0,178
847,847,6.0,145
848,848,2.0,144
849,849,4.0,193
850,850,32.0,367
851,851,14.0,157
852,852,-1.0,84
853,853,34.0,316
854,854,13.0,204
855,855,11.0,145
856,856,46.0,351
857,857,21.0,236
858,858,17.0,193
859,859,7.0,161
860,860,23.0,271
861,861,4.0,127
862,862,26.0,302
863,863,8.0,140
864,864,9.0,139
865,865,2.0,161
866,866,9.0,175
867,867,7.0,177
868,868,3.0,145
869,869,20.0,249
870,870,1.0,121
871,871,6.0,112
872,872,1.0,161
873,873,8.0,130
874,874,4.0,139
875,875,17.0,255
876,876,8.0,139
877,877,8.0,145
878,878,6.0,177
879,879,12.0,142
880,880,9.0,241
881,881,2.0,119
882,882,27.0,305
883,883,8.0,142
884,884,10.0,145
885,885,7.0,145
886,886,6.0,177
887,887,7.0,145
888,888,16.0,161
889,889,5.0,145
890,890,9.0,133
891,891,7.0,161
892,892,6.0,145
893,893,10.0,142
894,894,6.0,125
895,895,8.0,145
896,896,6.0,145
897,897,9.0,136
898,898,7.0,142
899,899,5.0,145
900,900,28.0,265
901,901,13.0,161
902,902,10.0,161
903,903,34.0,321
904,904,8.0,177
905,905,5.0,241
906,906,6.0,143
907,907,10.0,145
908,908,14.0,192
909,909,8.0,121
910,910,7.0,188
911,911,13.0,193
912,912,11.0,147
913,913,16.0,177
914,914,8.0,142
915,915,8.0,161
916,916,5.0,174
917,917,6.0,161
918,918,8.0,145
919,919,3.0,145
920,920,2.0,145
921,921,3.0,143
922,922,6.0,124
923,923,5.0,145
924,924,5.0,142
925,925,9.0,171
926,926,5.0,121
927,927,3.0,142
928,928,10.0,142
929,929,9.0,133
930,930,14.0,174
931,931,5.0,142
932,932,10.0,133
933,933,4.0,142
934,934,9.0,175
935,935,26.0,283
936,936,14.0,145
937,937,8.0,173
938,938,11.0,142
939,939,2.0,142
940,940,4.0,226
941,941,3.0,174
942,942,7.0,174
943,943,10.0,142
944,944,11.0,145
945,945,11.0,145
946,946,11.0,145
947,947,0.0,353
948,948,5.0,177
949,949,7.0,139
950,950,5.0,177
951,951,5.0,213
952,952,3.0,69
953,953,3.0,155
954,954,14.0,289
955,955,7.0,220
956,956,4.0,145
957,957,6.0,158
958,958,15.0,139
959,959,6.0,152
960,960,6.0,247
961,961,1.0,121
962,962,12.0,152
963,963,27.0,345
964,964,9.0,121
965,965,3.0,81
966,966,2.0,126
967,967,3.0,121
968,968,5.0,224
969,969,2.0,174
970,970,1.0,142
971,971,8.0,145
972,972,12.0,161
973,973,6.0,158
974,974,13.0,145
975,975,10.0,165
976,976,2.0,134
977,977,9.0,218
978,978,7.0,137
979,979,19.0,193
980,980,12.0,145
981,981,2.0,169
982,982,14.0,145
983,983,14.0,161
984,984,15.0,145
985,985,5.0,130
986,986,4.0,130
987,987,6.0,145
988,988,1.0,144
989,989,9.0,142
990,990,15.0,133
991,991,8.0,126
992,992,10.0,133
993,993,20.0,269
994,994,10.0,133
995,995,7.0,136
996,996,6.0,143
997,997,2.0,120
998,998,6.0,127
999,999,22.0,232
1000,1000,6.0,127
1001,1001,5.0,130
1002,1002,6.0,130
1003,1003,5.0,143
1004,1004,12.0,136
1005,1005,6.0,203
1006,1006,6.0,289
1007,1007,6.0,145
1008,1008,6.0,147
1009,1009,8.0,142
1010,1010,12.0,145
1011,1011,7.0,145
1012,1012,6.0,143
1013,1013,7.0,145
1014,1014,10.0,145
1015,1015,3.0,145
1016,1016,6.0,143
1017,1017,3.0,145
1018,1018,3.0,331
1019,1019,5.0,145
1020,1020,3.0,158
1021,1021,4.0,144
1022,1022,5.0,145
1023,1023,2.0,142
1024,1024,7.0,139
1025,1025,4.0,142
1026,1026,5.0,127
1027,1027,5.0,130
1028,1028,5.0,125
1029,1029,5.0,130
1030,1030,2.0,153
1031,1031,3.0,136
1032,1032,4.0,130
1033,1033,7.0,145
1034,1034,4.0,130
1035,1035,7.0,145
1036,1036,4.0,136
1037,1037,1.0,127
1038,1038,5.0,118
1039,1039,2.0,130
1040,1040,5.0,161
1041,1041,2.0,157
1042,1042,1.0,145
1043,1043,2.0,130
1044,1044,11.0,172
1045,1045,9.0,139
1046,1046,8.0,161
1047,1047,8.0,161
1048,1048,5.0,142
1049,1049,1.0,158
1050,1050,14.0,145
1051,1051,8.0,130
1052,1052,46.0,400
1053,1053,11.0,142
1054,1054,9.0,142
1055,1055,10.0,139
1056,1056,11.0,190
1057,1057,44.0,1999
1058,1058,7.0,158
1059,1059,4.0,158
1060,1060,2.0,142
1061,1061,32.0,350
1062,1062,1.0,133
1063,1063,13.0,177
1064,1064,22.0,246
1065,1065,14.0,171
1066,1066,15.0,146
1067,1067,43.0,1999
1068,1068,12.0,161
1069,1069,17.0,161
1070,1070,10.0,145
1071,1071,9.0,206
1072,1072,7.0,136
1073,1073,16.0,193
1074,1074,11.0,144
1075,1075,8.0,161
1076,1076,16.0,161
1077,1077,10.0,142
1078,1078,7.0,142
1079,1079,11.0,136
1080,1080,3.0,121
1081,1081,11.0,142
1082,1082,12.0,177
1083,1083,12.0,142
1084,1084,12.0,118
1085,1085,26.0,289
1086,1086,1.0,142
1087,1087,14.0,145
1088,1088,21.0,241
1089,1089,14.0,165
1090,1090,9.0,161
1091,1091,2.0,145
1092,1092,19.0,174
1093,1093,8.0,130
1094,1094,5.0,135
1095,1095,4.0,121
1096,1096,9.0,121
1097,1097,15.0,171
1098,1098,13.0,142
1099,1099,30.0,305
1100,1100,32.0,273
1101,1101,20.0,255
1102,1102,34.0,318
1103,1103,17.0,190
1104,1104,8.0,161
1105,1105,5.0,151
1106,1106,18.0,161
1107,1107,21.0,216
1108,1108,15.0,178
1109,1109,18.0,209
1110,1110,16.0,181
1111,1111,13.0,175
1112,1112,6.0,145
1113,1113,15.0,225
1114,1114,22.0,193
1115,1115,12.0,169
1116,1116,13.0,162
1117,1117,2.0,121
1118,1118,11.0,159
1119,1119,7.0,145
1120,1120,18.0,149
1121,1121,43.0,1999
1122,1122,12.0,142
1123,1123,15.0,161
1124,1124,9.0,142
1125,1125,13.0,145
1126,1126,15.0,145
1127,1127,12.0,143
1128,1128,6.0,159
1129,1129,14.0,193
1130,1130,14.0,159
1131,1131,6.0,146
1132,1132,1.0,123
1133,1133,2.0,123
1134,1134,7.0,123
1135,1135,5.0,125
1136,1136,13.0,161
1137,1137,13.0,169
1138,1138,10.0,137
1139,1139,10.0,145
1140,1140,10.0,153
1141,1141,5.0,121
1142,1142,19.0,242
1143,1143,7.0,142
1144,1144,12.0,158
1145,1145,10.0,159
1146,1146,28.0,290
1147,1147,2.0,121
1148,1148,5.0,135
1149,1149,3.0,127
1150,1150,8.0,161
1151,1151,11.0,160
1152,1152,8.0,145
1153,1153,17.0,177
1154,1154,8.0,133
1155,1155,8.0,156
1156,1156,9.0,161
1157,1157,1.0,130
1158,1158,1.0,145
1159,1159,3.0,142
1160,1160,6.0,145
1161,1161,4.0,139
1162,1162,15.0,174
1163,1163,0.0,142
1164,1164,0.0,139
1165,1165,10.0,159
1166,1166,5.0,130
1167,1167,0.0,130
1168,1168,0.0,128
1169,1169,7.0,158
1170,1170,9.0,162
1171,1171,47.0,380
1172,1172,12.0,139
1173,1173,36.0,324
1174,1174,18.0,193
1175,1175,30.0,273
1176,1176,6.0,145
1177,1177,20.0,225
1178,1178,18.0,145
1179,1179,47.0,353
1180,1180,20.0,145
1181,1181,31.0,316
1182,1182,5.0,119
1183,1183,12.0,172
1184,1184,1.0,118
1185,1185,19.0,242
1186,1186,8.0,136
1187,1187,14.0,150
1188,1188,15.0,150
1189,1189,10.0,182
1190,1190,5.0,134
1191,1191,17.0,248
1192,1192,5.0,121
1193,1193,5.0,121
1194,1194,10.0,208
1195,1195,2.0,121
1196,1196,2.0,122
1197,1197,8.0,124
1198,1198,5.0,140
1199,1199,8.0,124
