,round,reward,ticks
689,689,16.0,133
690,690,38.0,342
691,691,39.0,278
692,692,42.0,326
693,693,24.0,166
694,694,42.0,307
695,695,24.0,168
696,696,48.0,406
697,697,47.0,374
698,698,31.0,264
699,699,36.0,300
700,700,49.0,1999
701,701,48.0,358
702,702,51.0,383
703,703,40.0,294
704,704,33.0,246
705,705,14.0,150
706,706,39.0,342
707,707,31.0,262
708,708,32.0,230
709,709,31.0,230
710,710,30.0,247
711,711,18.0,182
712,712,36.0,278
713,713,33.0,247
714,714,23.0,175
715,715,50.0,397
716,716,26.0,230
717,717,28.0,198
718,718,18.0,140
719,719,21.0,171
720,720,52.0,379
721,721,54.0,400
722,722,2.0,78
723,723,54.0,347
724,724,46.0,409
725,725,38.0,316
726,726,49.0,387
727,727,49.0,421
728,728,36.0,278
729,729,29.0,246
730,730,43.0,326
731,731,52.0,405
732,732,24.0,166
733,733,51.0,341
734,734,50.0,400
735,735,41.0,310
736,736,39.0,294
737,737,53.0,400
738,738,33.0,294
739,739,51.0,405
740,740,51.0,411
741,741,33.0,262
742,742,18.0,150
743,743,52.0,385
744,744,52.0,370
745,745,33.0,214
746,746,9.0,118
747,747,8.0,118
748,748,7.0,118
749,749,53.0,415
750,750,6.0,118
751,751,11.0,118
752,752,10.0,118
753,753,15.0,149
754,754,40.0,310
755,755,7.0,118
756,756,51.0,324
757,757,14.0,150
758,758,29.0,214
759,759,48.0,422
760,760,10.0,120
761,761,14.0,113
762,762,12.0,134
763,763,25.0,182
764,764,35.0,246
765,765,28.0,182
766,766,26.0,175
767,767,42.0,358
768,768,5.0,119
769,769,43.0,326
770,770,31.0,246
771,771,26.0,214
772,772,34.0,294
773,773,17.0,166
774,774,48.0,400
775,775,50.0,396
776,776,51.0,388
777,777,43.0,342
778,778,14.0,118
779,779,51.0,406
780,780,39.0,326
781,781,44.0,374
782,782,31.0,246
783,783,50.0,422
784,784,53.0,345
785,785,45.0,374
786,786,29.0,246
787,787,14.0,118
788,788,25.0,182
789,789,54.0,353
790,790,37.0,278
791,791,39.0,326
792,792,52.0,406
793,793,31.0,214
794,794,17.0,134
795,795,53.0,357
796,796,53.0,356
797,797,21.0,168
798,798,30.0,262
799,799,24.0,188
800,800,18.0,169
801,801,15.0,129
802,802,7.0,136
803,803,48.0,374
804,804,35.0,268
805,805,51.0,400
806,806,39.0,246
807,807,13.0,118
808,808,13.0,118
809,809,33.0,281
810,810,34.0,280
811,811,50.0,406
812,812,10.0,108
813,813,37.0,310
814,814,20.0,166
815,815,45.0,326
816,816,11.0,150
817,817,13.0,137
818,818,13.0,137
819,819,37.0,294
820,820,14.0,141
821,821,14.0,141
822,822,29.0,185
